Id,SalePrice,Foundation,RoofStyle,FFlrSF,SFlrSF,TotalBsmtSF,YearBuilt,Ages
87,214900,PConc,Gable,824,1070,817,2002,Young
88,238000,PConc,Gable,912,1215,1104,1991,Young
89,174000,PConc,Gable,764,677,776,1999,Young
90,193000,PConc,Gable,864,729,839,2004,Young
91,105000,BrkTil,Gable,698,560,560,1939,Old
92,146500,CBlock,Gable,888,756,728,1942,Old
93,166000,CBlock,Gable,910,475,910,1952,Old
94,237000,PConc,Gable,1128,903,1128,2002,Young
95,202900,PConc,Gable,993,915,967,2002,Young
96,135000,PConc,Gable,997,473,941,1954,Old
97,79000,BrkTil,Gable,572,524,572,1924,Old
98,165000,CBlock,Gable,1127,850,816,1964,Old
99,213500,PConc,Gable,939,858,939,2006,Young
100,37900,BrkTil,Gable,600,368,600,1910,Old
101,260000,PConc,Gable,1372,1274,1347,1993,Young
102,179500,PConc,Gable,1052,720,720,1939,Old
103,183200,PConc,Gable,807,702,783,2002,Young
104,175500,PConc,Gable,764,862,764,2003,Young
105,106000,CBlock,Gable,483,504,483,1970,Old
106,261500,PConc,Gable,1299,573,1299,2001,Young
107,230500,PConc,Gable,1454,482,1406,2000,Young
108,183500,PConc,Gable,840,880,840,2004,Young
109,310000,PConc,Gable,1026,981,1017,2008,Young
110,192140,PConc,Gable,734,1104,732,2005,Young
111,206900,CBlock,Gable,1092,1020,952,1969,Old
112,230000,PConc,Gable,1004,848,1004,1999,Young
113,201000,PConc,Gable,936,785,928,1994,Young
114,424870,PConc,Hip,1466,1362,1466,2006,Young
115,255900,PConc,Gable,1149,1141,1128,2002,Young
116,280000,PConc,Gable,1086,838,1086,1998,Young
117,215200,PConc,Gable,764,783,756,2009,Young
118,197500,CBlock,Gable,1088,780,780,1976,Old
119,180500,PConc,Gambrel,1060,764,764,1919,Old
120,119000,BrkTil,Gable,961,406,861,1900,Old
121,164000,Wood,Gable,1080,672,559,1988,Young
122,112000,BrkTil,Gable,865,445,617,1924,Old
123,172400,PConc,Gable,953,711,953,2000,Young
124,325000,BrkTil,Gable,1521,1254,1237,1893,Old
125,137500,PConc,Gable,970,739,970,2004,Young
126,154900,BrkTil,Gable,820,523,731,1921,Old
127,239000,PConc,Hip,975,975,975,1997,Young
128,185000,PConc,Gable,885,833,832,1998,Young
129,188700,CBlock,Hip,849,811,715,1934,Old
130,168000,BrkTil,Gable,916,826,916,1882,Old
131,195000,PConc,Gable,831,829,831,2002,Young
132,127500,BrkTil,Gable,808,547,644,1940,Old
133,126000,BrkTil,Gable,756,378,756,1940,Old
134,159500,BrkTil,Gable,1576,978,718,1890,Old
135,181000,PConc,Gable,926,678,926,1997,Young
136,139000,PConc,Gable,966,686,686,1915,Old
137,128000,CBlock,Gable,742,742,742,1914,Old
138,130000,PConc,Gable,1024,940,940,1911,Old
139,187000,PConc,Gable,832,878,832,1993,Young
140,274970,CBlock,Flat,1575,626,697,1966,Old
141,192000,PConc,Gable,943,695,943,1998,Young
142,93000,CBlock,Gable,811,576,811,1954,Old
143,190000,PConc,Gable,1061,862,750,1992,Young
144,211000,PConc,Gable,1164,896,1151,1988,Young
145,120000,CBlock,Gable,679,504,649,1948,Old
146,113000,CBlock,Gable,798,689,735,1945,Old
147,263435,PConc,Gable,832,1103,832,2009,Young
148,140000,CBlock,Gable,1112,556,856,1950,Old
149,226700,PConc,Gable,866,902,866,2005,Young
150,220000,CBlock,Gable,1096,895,854,1932,Old
151,140000,BrkTil,Gable,810,672,672,1925,Old
152,262280,PConc,Hip,1532,797,1475,1990,Young
153,175000,PConc,Gable,953,694,953,1999,Young
154,108000,CBlock,Gable,755,755,755,1940,Old
155,159000,CBlock,Gable,1004,660,1004,1947,Old
156,244000,PConc,Gable,1022,1032,992,2000,Young
157,290000,PConc,Gable,1164,1106,1152,1999,Young
158,107500,CBlock,Gable,820,527,1117,1910,Old
159,109000,CBlock,Gable,735,299,735,1940,Old
160,118000,CBlock,Gable,672,546,672,1972,Old
161,185000,BrkTil,Gable,1163,511,1163,1918,Old
162,78000,PConc,Gable,596,596,596,1920,Old
163,200500,CBlock,Gable,1636,971,1598,1946,Old
164,153900,BrkTil,Gable,876,540,876,1915,Old
165,162000,PConc,Gable,660,660,660,2003,Young
166,475000,BrkTil,Gable,1518,1518,1107,1892,Old
167,168500,PConc,Gable,804,670,384,1995,Young
168,175000,BrkTil,Gable,981,787,731,1937,Old
169,205950,PConc,Gable,822,843,813,2007,Young
170,315000,CBlock,Hip,1549,1178,853,1932,Old
171,193500,CBlock,Gable,1182,960,896,1968,Old
172,226000,CBlock,Gable,1216,941,924,1966,Old
173,215000,PConc,Gable,804,1157,804,2001,Young
174,135000,CBlock,Gable,808,704,660,1916,Old
175,165600,PConc,Gable,697,804,697,1993,Young
176,252678,PConc,Gable,932,920,900,2009,Young
177,266000,PConc,Gable,1095,844,1095,2006,Young
178,235000,PConc,Gable,1360,1360,1360,1918,Old
179,160000,CBlock,Gable,1766,648,954,1900,Old
180,171000,CBlock,Gable,888,676,650,1980,Young
181,113000,BrkTil,Gable,736,716,736,1920,Old
182,162900,PConc,Gable,832,832,832,1976,Old
183,173733,PConc,Gable,612,612,612,2009,Young
184,340000,PConc,Gable,1580,886,1580,2004,Young
185,125500,BrkTil,Gable,796,358,796,1922,Old
186,177500,PConc,Gable,769,804,756,2000,Young
187,190000,CBlock,Shed,1361,1259,1361,1977,Young
188,91500,CBlock,Gable,672,546,672,1971,Old
189,190000,CBlock,Gable,1097,896,825,1971,Old
190,403000,PConc,Gable,1490,1304,1462,1995,Young
191,216500,PConc,Gable,860,1100,860,2002,Young
192,115000,BrkTil,Gable,896,448,896,1936,Old
193,117000,BrkTil,Gable,884,464,884,1925,Old
194,197000,BrkTil,Gable,1687,998,824,1920,Old
195,113000,CBlock,Gable,672,546,672,1973,Old
196,402000,PConc,Hip,1686,762,1629,1994,Young
197,228500,PConc,Gable,1284,885,1284,2002,Young
198,325000,PConc,Gable,1500,1122,1463,1994,Young
199,139000,PConc,Gable,661,589,661,1910,Old
200,285000,PConc,Hip,1234,1140,1181,2003,Young
