Id,Year,Ages,Style,LotArea,GrLivArea,SalePrice
46,2007,Young,OneStory,12085,1734,318000
47,1966,Old,OneStory,8544,1228,149350
48,1957,Old,OneStory,14442,1839,257500
49,1993,Young,TwoStory,14541,2520,310000
50,1923,Old,OneStory,5900,869,85500
51,1977,Young,OneStory,11250,1208,165000
52,1992,Young,TwoStory,11218,1845,189000
53,1963,Old,Other,8800,1054,137500
54,1950,Old,OneStory,8400,841,82000
55,1999,Young,OneStory,10264,1588,214000
56,1988,Young,OneStory,11070,1959,171000
57,1930,Old,Other,6240,1573,162900
58,1958,Old,OneStory,11475,1776,110000
59,2003,Young,TwoStory,11999,2374,285000
60,1979,Young,Other,7032,943,135960
61,1910,Old,Other,5362,1250,139000
62,1915,Old,TwoStory,15576,1680,177000
63,2006,Young,OneStory,3982,1567,264561
64,1934,Old,TwoStory,11988,1660,188700
65,1936,Old,Other,11500,2057,250000
66,1976,Young,OneStory,4224,1142,134000
67,2000,Young,TwoStory,11194,1936,230500
68,1996,Young,TwoStory,14000,2260,328000
69,1945,Old,TwoStory,7259,2320,259500
70,1962,Old,Other,10205,999,134500
71,1985,Young,OneStory,6820,1502,212000
72,1954,Old,OneStory,14778,1640,224000
73,1937,Old,OneStory,5925,1131,89471
74,1965,Old,OneStory,8281,864,62383
75,1959,Old,OneStory,10007,1053,145500
76,1962,Old,Other,7728,1190,132500
77,1999,Young,OneStory,4500,1224,165000
78,1972,Old,OneStory,12735,864,111250
79,1948,Old,Other,7585,1456,91500
80,1978,Young,OneStory,13175,2073,210000
81,1977,Young,OneStory,12984,1647,217500
82,1961,Old,Other,12122,999,178400
83,1955,Old,OneStory,8235,825,125000
84,1956,Old,OneStory,9855,1689,127500
85,1925,Old,Other,7264,1548,205000
86,2000,Young,TwoStory,2651,1382,165000
87,1956,Old,Other,5500,882,103200
88,2003,Young,OneStory,10655,1629,284000
89,1967,Old,Other,11275,2978,242000
90,1968,Old,OneStory,10778,1768,136500
91,2004,Young,TwoStory,8834,2224,350000
92,1969,Old,TwoStory,9364,1352,158000
93,1935,Old,OneStory,18000,894,81000
94,1992,Young,Other,9069,996,147000
95,2007,Young,OneStory,11694,1828,314813
96,1957,Old,OneStory,14850,1092,141000
97,1920,Old,OneStory,8400,438,60000
98,1953,Old,OneStory,6000,936,93000
99,1970,Old,OneStory,15865,2217,268000
100,2007,Young,OneStory,10637,1718,297000
101,2003,Young,OneStory,13695,1114,155000
102,1994,Young,TwoStory,10944,2127,271000
103,2006,Young,TwoStory,4251,1250,164700
104,1987,Young,TwoStory,5306,1767,239000
105,1969,Old,TwoStory,10793,1620,152000
106,2006,Young,OneStory,13891,2076,465000
107,1967,Old,Other,9750,980,135500
108,1999,Young,TwoStory,14774,2599,333168
109,1977,Young,Other,10125,1734,126000
110,1995,Young,Other,14720,3238,410000
111,1954,Old,Other,12150,1795,131500
112,2007,Young,OneStory,9416,1726,311872
113,1970,Old,OneStory,11241,1004,149000
114,1999,Young,TwoStory,2572,1416,155000
115,1967,Old,OneStory,10355,1214,143000
116,2006,Young,OneStory,3922,1402,194201
117,1978,Young,Other,10970,1026,147000
118,1940,Old,OneStory,5330,708,82500
119,1964,Old,OneStory,9937,1486,167000
120,2009,Young,OneStory,9187,1766,370878
121,1967,Old,OneStory,8521,912,125000
122,2005,Young,OneStory,3182,1504,181000
123,2004,Young,TwoStory,3182,1200,151000
124,2008,Young,OneStory,11844,2046,372500
125,1958,Old,OneStory,9600,1632,139000
126,1953,Old,OneStory,15750,1336,157000
127,2005,Young,OneStory,3182,1145,160200
128,2009,Young,TwoStory,8640,1547,215200
129,1959,Old,OneStory,9320,1225,128950
130,2005,Young,OneStory,7658,1752,319900
131,2003,Young,OneStory,4435,848,131500
132,1958,Old,Other,10482,1138,145000
133,1966,Old,TwoStory,12205,2087,187500
134,1910,Old,TwoStory,9600,1432,132000
135,1936,Old,Other,6120,1539,141500
136,1963,Old,OneStory,8700,1128,155000
137,1994,Young,OneStory,8125,1679,193500
138,2009,Young,OneStory,12919,2364,611657
139,2006,Young,OneStory,9986,1795,147000
140,1993,Young,TwoStory,7685,1501,165600
141,2005,Young,OneStory,14157,1922,377426
142,1962,Old,OneStory,7420,1057,132000
143,2003,Young,OneStory,4435,848,140000
144,1995,Young,TwoStory,9950,2520,290000
145,1985,Young,OneStory,8780,833,112000
146,1970,Old,OneStory,10400,1682,174000
147,2004,Young,OneStory,14572,1530,259000
148,2007,Young,OneStory,7314,1232,194500
149,1957,Old,OneStory,8593,907,109008
150,2004,Young,TwoStory,8320,1582,185900
151,2007,Young,TwoStory,10207,1761,227875
152,1993,Young,TwoStory,9765,1470,185000
153,2000,Young,OneStory,9100,1525,235000
154,1963,Old,OneStory,9500,1394,159000
155,1976,Young,OneStory,10768,1437,218000
156,1928,Old,Other,6292,1477,145000
157,1970,Old,OneStory,12155,1657,163500
158,1997,Young,TwoStory,8773,1600,169000
159,1955,Old,OneStory,7200,827,107500
160,1968,Old,TwoStory,13000,2142,193500
161,1920,Old,Other,5586,1198,79900
162,1997,Young,TwoStory,13006,2236,222000
163,1898,Old,Other,8100,2138,106000
164,1969,Old,OneStory,15870,1096,138800
165,1914,Old,TwoStory,6882,1355,127000
166,1958,Old,OneStory,7535,912,120000
167,1940,Old,OneStory,7200,804,119000
168,1959,Old,OneStory,9000,1006,80000
169,1940,Old,Other,9900,1489,139500
170,2002,Young,OneStory,14536,1629,270000
171,1976,Young,Other,7819,1117,107000
172,1926,Old,Other,5700,1111,116900
173,1959,Old,Other,17120,1588,134432
174,2008,Young,OneStory,9000,1566,262500
175,1955,Old,OneStory,10434,1005,115000
176,1910,Old,OneStory,8777,796,85000
177,2004,Young,OneStory,8500,1422,179600
178,1993,Young,TwoStory,9453,1744,194500
179,2005,Young,Other,3675,1072,145000
180,1885,Old,TwoStory,11340,2290,122500
181,1921,Old,OneStory,5400,1073,108480
182,1961,Old,OneStory,6993,1236,135000
183,1935,Old,Other,6780,754,84500
184,2009,Young,OneStory,9541,1502,233170
185,1940,Old,Other,8400,1595,140000
186,1963,Old,Other,12886,1464,175000
187,1973,Young,OneStory,9246,1656,135000
188,1976,Young,OneStory,11361,1523,180000
189,1972,Old,OneStory,7200,894,123000
190,1998,Young,TwoStory,12203,2612,336000
